Promo_Code,Description,Used_By_Guests,Avg_Spend_Increase,Notes
LUNCH15,15% off lunch orders over $25,8,12.50,Popular during weekday lunch hours
HAPPY2024,New Year special - buy one burger get one 50% off,12,18.75,Very successful promotion in January
FAMILY10,10% off family meals (4+ people),5,15.20,Effective for large groups and families
STUDENT20,20% off with valid student ID,3,8.40,Limited usage but good for brand awareness
BIRTHDAY,Free dessert on birthday with meal purchase,4,7.99,Builds customer loyalty and repeat visits
FIRST10,10% off first-time customers,6,11.30,Good conversion rate for new customers
WINE25,25% off wine with pasta orders,7,16.50,Increases beverage sales significantly
WEEKEND,Weekend brunch special - free drink with entree,0,0.00,Not applicable during lunch service
LOYALTY,Loyalty program members get 5% off all orders,15,9.85,Consistent usage by repeat customers
SOCIAL15,15% off when posting review on social media,4,13.25,Drives online engagement and reviews
