Vendor_Name,Product_Supplied,Unit_Cost,Last_Delivery_Date,Quantity_Delivered,Quality_Notes
Fresh Farm Co,Beef Patty,2.50,2024-01-15,100 pieces,Grade A quality - consistent size
Fresh Farm Co,Chicken Breast,4.00,2024-01-15,25 lbs,Fresh - good marbling
Premium Produce,Lettuce,1.50,2024-01-16,20 heads,Crisp and fresh - good shelf life
Premium Produce,Tomato,2.00,2024-01-16,15 lbs,Ripe and firm - excellent color
Premium Produce,Avocado,1.25,2024-01-16,30 pieces,Perfect ripeness - no bruising
Dairy Delights,Cheddar Cheese,3.50,2024-01-14,10 lbs,Sharp flavor - melts well
Dairy Delights,Parmesan Cheese,8.00,2024-01-14,8 lbs,Aged 24 months - excellent quality
Dairy Delights,Cream,3.00,2024-01-14,12 quarts,Heavy cream - 35% fat content
Ocean Fresh Seafood,Fish Fillet,7.00,2024-01-15,12 lbs,Fresh catch - firm texture
Ocean Fresh Seafood,Salmon,9.50,2024-01-15,8 lbs,Atlantic salmon - bright color
Artisan Bakery,Burger Bun,0.50,2024-01-16,100 pieces,Soft and fresh - good structure
Artisan Bakery,Sourdough Bread,2.00,2024-01-16,12 loaves,Authentic sourdough - crispy crust
Artisan Bakery,Sub Roll,0.75,2024-01-16,50 pieces,Italian style - perfect for subs
Specialty Meats,Bacon,6.00,2024-01-14,15 lbs,Thick cut - good fat ratio
Specialty Meats,Pancetta,9.00,2024-01-14,5 lbs,Italian cured - authentic flavor
Specialty Meats,Salami,8.00,2024-01-14,6 lbs,Dry cured - rich flavor
Local Brewery,Craft Beer,2.00,2024-01-15,72 bottles,IPA and Lager - fresh batch
Wine Distributors,House Wine,8.00,2024-01-13,36 bottles,Red and White - good vintage
Sysco Foods,BBQ Sauce,3.00,2024-01-12,6 bottles,Smoky flavor - thick consistency
Sysco Foods,Ranch Dressing,3.00,2024-01-12,8 bottles,Creamy texture - popular with customers
